seed,x_cells,y_cells,area_cells,solute_mass
0,437.5955,172.9796,60,3.620998
0,88.3693,175.4611,119,10.164027
0,864.6671,177.4198,133,10.337495
0,983.1378,175.2973,92,6.700345
0,453.7104,175.4395,87,6.758815
0,749.5232,176.3849,89,6.713816
0,314.6097,175.6533,52,3.242377
0,678.5404,173.5623,17,0.552712
0,845.3862,177.6620,101,8.167425
0,469.3643,179.7655,68,3.236773
0,690.4637,179.0111,93,7.016708
0,909.6597,177.7839,49,2.850542
0,109.0136,180.3325,106,8.406640
0,824.4990,179.7624,89,7.106979
0,962.7890,179.2233,80,5.617710
0,19.2319,180.9171,123,10.106553
0,420.4429,180.4677,88,7.123083
0,212.9214,182.3008,154,14.143582
0,487.3080,181.0874,47,2.531838
0,627.1195,181.8231,94,7.242280
0,807.0183,182.4383,99,7.602082
0,257.8739,182.2977,65,4.178664
0,359.6079,183.0980,102,8.293109
0,942.8664,186.6969,135,9.977062
0,157.9706,183.4302,89,6.904254
0,664.6884,184.2543,137,11.620127
0,711.3773,183.1257,53,3.197178
0,1017.7839,184.2534,110,8.622889
0,190.6511,184.7756,90,7.053349
0,511.0371,186.7126,127,10.017215
0,539.3768,185.7449,75,5.283474
0,560.4201,191.8328,185,13.925476
0,591.1606,184.1330,43,2.419733
0,608.5652,186.2060,116,9.614429
0,767.6142,187.0700,139,11.963780
0,55.1824,187.1095,92,6.706991
0,122.6981,185.4801,44,2.207564
0,727.0164,187.5663,102,7.896000
0,74.4551,188.2689,90,7.023267
0,438.0457,186.0312,28,1.247689
0,233.5927,188.7890,94,7.388216
0,403.6662,190.9055,113,9.235436
0,789.6275,189.0749,57,3.488830
0,273.2830,192.6006,112,8.433644
0,376.5110,190.5766,89,7.217593
0,884.3377,190.2032,142,10.721114
0,914.5866,192.8990,160,12.281171
0,1002.1344,190.4329,75,5.241840
0,292.9387,192.7113,123,10.551186
0,321.2083,191.8652,221,16.950922
0,38.9012,197.9343,175,13.524703
0,576.6803,192.6427,88,6.659064
0,838.1823,190.9266,41,2.185132
0,135.8040,194.4416,118,9.447559
0,639.2285,193.8723,112,8.942989
0,478.8294,194.0166,73,4.933435
0,746.1642,194.3776,87,5.190671
0,89.7881,194.2436,48,2.727239
0,177.9365,198.7665,166,13.618112
0,453.6700,196.0677,108,8.891766
0,496.0473,195.0211,37,1.882463
0,15.5935,197.4109,70,4.493935
0,105.2463,196.3296,57,3.623073
0,248.3198,197.9885,95,7.346179
0,960.8924,197.6623,97,7.426464
0,980.4734,199.3797,126,10.451991
0,431.8441,202.3371,165,13.539145
0,687.1721,199.4635,116,9.312183
0,825.2059,199.2437,97,7.433172
0,866.6576,198.3891,74,5.113266
0,153.0952,200.0334,80,5.909249
0,528.6973,198.6999,46,2.441944
0,593.2217,200.2996,88,6.661755
0,708.6637,200.3492,116,9.574544
0,807.4211,198.3265,44,2.250057
0,929.9998,200.9183,51,3.139372
0,219.0720,206.2241,218,18.811515
0,390.4419,203.4486,90,7.261741
0,1017.8370,201.4402,58,3.499177
0,468.4917,201.7350,28,1.023493
0,542.6786,205.5420,120,10.054600
0,609.7231,203.2843,54,3.409453
0,663.0207,205.4029,99,7.719919
0,793.3749,204.9671,104,8.055646
0,62.2242,207.1234,148,13.289002
0,356.3004,205.4474,88,6.635901
0,757.2456,203.3976,23,0.818110
0,848.1926,207.0097,155,13.990719
0,511.2603,208.5485,135,11.606501
0,197.8329,206.3619,41,2.119084
0,894.3181,207.6393,96,7.443591
0,1001.7435,208.5274,109,8.417771
0,339.2699,209.6272,126,10.484375
0,409.8001,209.2976,111,9.030579
0,83.9427,213.2116,156,12.926740
0,110.1347,211.1510,130,10.875942
